movie,chapter,character,,dialog
Harry Potter and the Gobelt of Fire,"Flesh, Blood and Bone",Cedric Diggory,Harry Potter,What are you talking about?
Harry Potter and the Gobelt of Fire,"Flesh, Blood and Bone",Cedric Diggory,Harry Potter,What is it?
Harry Potter and the Gobelt of Fire,"Flesh, Blood and Bone",Harry Potter,Cedric Diggory,Get back to the cup!
Harry Potter and the Gobelt of Fire,"Flesh, Blood and Bone",Cedric Diggory,Harry Potter,Who are you? What do you want?
Harry Potter and the Gobelt of Fire,"Flesh, Blood and Bone",Voldemort,Peter Pettigrew,Kill the spare.
Harry Potter and the Gobelt of Fire,"Flesh, Blood and Bone",Harry Potter,Cedric Diggory,Cedric!
Harry Potter and the Gobelt of Fire,"Flesh, Blood and Bone",Voldemort,Peter Pettigrew,"Do it, now!"
Harry Potter and the Gobelt of Fire,"Flesh, Blood and Bone",Peter Pettigrew,,"Bones of the father, unwillingly given."
Harry Potter and the Gobelt of Fire,"Flesh, Blood and Bone",Peter Pettigrew,,Flesh of the servent willingly sacrificed.
Harry Potter and the Gobelt of Fire,"Flesh, Blood and Bone",Peter Pettigrew,,Blood of the enemy forcibly taken.
Harry Potter and the Gobelt of Fire,"Flesh, Blood and Bone",Peter Pettigrew,,The dark lord shall rise again.
Harry Potter and the Gobelt of Fire,"Flesh, Blood and Bone",Voldemort,Peter Pettigrew,My wand Wormtail.
Harry Potter and the Gobelt of Fire,"Flesh, Blood and Bone",Voldemort,Peter Pettigrew,Hold out your arm.
Harry Potter and the Gobelt of Fire,"Flesh, Blood and Bone",Peter Pettigrew,Voldemort,Master. Thank you master.
Harry Potter and the Gobelt of Fire,"Flesh, Blood and Bone",Voldemort,Peter Pettigrew,The other arm Wormtail.
Harry Potter and the Gobelt of Fire,The Death Eaters,Voldemort,All,"Welcome my friends. Thirty years it's been, and yet you stand before me as though it were only yesterday. I confess myself disappointed, not one of you tried to find me."
Harry Potter and the Gobelt of Fire,The Death Eaters,Voldemort,Lucius Malfoy,"Not even you, Lucius."
Harry Potter and the Gobelt of Fire,The Death Eaters,Lucius Malfoy,Voldemort,My lord. Had I detected any sign or even a whisper of your whereabouts.
Harry Potter and the Gobelt of Fire,The Death Eaters,Voldemort,Lucius Malfoy,"There were signs my friend, and more than whispers."
Harry Potter and the Gobelt of Fire,The Death Eaters,Lucius Malfoy,Voldemort,"I assure you I never renounced the old ways. The face I have been obliged to present each day since your absence, that was my true mask."
Harry Potter and the Gobelt of Fire,The Death Eaters,Peter Pettigrew,Voldemort,I returned.
Harry Potter and the Gobelt of Fire,The Death Eaters,Voldemort,Peter Pettigrew,"Out of fear, not loyalty. Still you have proved yourself useful these past few months Wormtail."
Harry Potter and the Gobelt of Fire,The Death Eaters,Peter Pettigrew,Voldemort,"Thank you master, thank you."
Harry Potter and the Gobelt of Fire,The Death Eaters,Voldemort,Cedric Diggory,"Oh, such a handsome boy."
Harry Potter and the Gobelt of Fire,The Death Eaters,Harry Potter,Voldemort,Don't touch him.
Harry Potter and the Gobelt of Fire,The Death Eaters,Voldemort,Harry Potter,"Harry! I'd almost forgotten you were here. Standing on the bones of my father. I'd introduce you but word has it you're almost as famous as me these days. The boy who lived. How lies have fed your legend Harry. Shall I reveal what really happened that night thirteen years ago? Shall I divulge how I truly lost my powers? It was love. You see when dear sweet Lily Potter gave her life for her only son she provided the ultimate protection. I could not touch you. It was old magic, something I should have forseen. But no matter, no matter. Things have changed, I can touch you now!"
Harry Potter and the Gobelt of Fire,The Death Eaters,Voldemort,Harry Potter,"Astonishing what a few drops of your blood will do eh Harry? Pick up your wand Potter. I said pick it up, get up. Get up! You've been taught how to duel I presume yes? First we bow to each other. Come on now Harry the niceties must be observed, Dumbledore would not want you to forget your manners now would he? I said bow!"
Harry Potter and the Gobelt of Fire,The Death Eaters,Voldemort,Harry Potter,That's better. And now...
Harry Potter and the Gobelt of Fire,The Death Eaters,Voldemort,Harry Potter,"Atta boy Harry, your parents would be proud. Especially your filthy mongrel mother. I'm going to kill you Harry Potter, I'm going to destroy you. After tonight no one will ever again question my powers. After tonight if they speak of you they'll speak only of how you begged for death, and I being a merciful lord obliged. Get up."
Harry Potter and the Gobelt of Fire,The Death Eaters,Voldemort,Harry Potter,"Don't you turn your back on me Harry Potter I want you to look at me when I kill you, I want to see the lights leave your eyes."
Harry Potter and the Gobelt of Fire,The Death Eaters,Harry Potter,Voldemort,Have it your way.
Harry Potter and the Gobelt of Fire,The Death Eaters,Voldemort,,Do nothing. He is mine to finish. He's mine!
Harry Potter and the Gobelt of Fire,Priori Incantatem,James Potter,Harry Potter,"Harry when the connection is broken you must get to the portkey. We can delay it for a moment to give you time but only a moment, do you understand?"
Harry Potter and the Gobelt of Fire,Priori Incantatem,Cedric Diggory,Harry Potter,Harry take my body back will you? Take my body back to my father.
Harry Potter and the Gobelt of Fire,Priori Incantatem,Lily Potter,Harry Potter,Let go. Sweetheart you're ready. Let go! Let go!
Harry Potter and the Gobelt of Fire,Priori Incantatem,Voldemort,,No!
Harry Potter and the Gobelt of Fire,Priori Incantatem,Albus Dumbledore,Harry Potter,Harry! Harry!
Harry Potter and the Gobelt of Fire,Priori Incantatem,Albus Dumbledore,Harry Potter,Tell me what happened!
Harry Potter and the Gobelt of Fire,Priori Incantatem,Harry Potter,Albus Dumbledore,"He's back, he's back! Voldemort's back. Cedric, he asked me to bring his body back. I couldn't leave him, not there."
Harry Potter and the Gobelt of Fire,Priori Incantatem,Albus Dumbledore,Harry Potter,"It's alright Harry. It's alright, he's home, you both are."
Harry Potter and the Gobelt of Fire,Priori Incantatem,Cornelius Fudge,Albus Dumbledore,"Keep everybody in their seats. A boy has just been killed. The body must be moved Dumbledore, there are... too many people."
Harry Potter and the Gobelt of Fire,Priori Incantatem,Amos Diggory,,Let me through! That's my son! My boy!
Harry Potter and the Gobelt of Fire,Veritaserum,Alastor Moody,Harry Potter,Are you alright Potter?
Harry Potter and the Gobelt of Fire,Veritaserum,Alastor Moody,Harry Potter,Does it hurt?
Harry Potter and the Gobelt of Fire,Veritaserum,Harry Potter,Alastor Moody,Not so much now.
Harry Potter and the Gobelt of Fire,Veritaserum,Alastor Moody,Harry Potter,I'd better take a look at it.
Harry Potter and the Gobelt of Fire,Veritaserum,Harry Potter,Alastor Moody,The cup was a portkey. Someone had bewitched it.
Harry Potter and the Gobelt of Fire,Veritaserum,Alastor Moody,Harry Potter,What was it like? What was he like?
Harry Potter and the Gobelt of Fire,Veritaserum,Harry Potter,Alastor Moody,Who?
Harry Potter and the Gobelt of Fire,Veritaserum,Alastor Moody,Harry Potter,The dark lord. What was it like to stand in his presence?
Harry Potter and the Gobelt of Fire,Veritaserum,Harry Potter,Alastor Moody,I dunno. It was like I'd fallen into one of my dreams. One of my nightmares.
Harry Potter and the Gobelt of Fire,Veritaserum,Alastor Moody,Harry Potter,"Were there others? In the graveyard, were there others?"
Harry Potter and the Gobelt of Fire,Veritaserum,Harry Potter,Alastor Moody,Um. I don't think I said anything about a graveyard Professor.
Harry Potter and the Gobelt of Fire,Veritaserum,Alastor Moody,Harry Potter,Marvellous creatures dragons aren't they? Do you think that miserable oaf would have led you into the woods if I hadn't suggested it? Do you think Cedric Diggory would have told you to hold the egg under the water if I hadn't have told him first myself? Do you think Neville Longbottom the witless wonder could have provided you with gilliweed if I hadn't have given him the book that led you straight to it? Huh??
Harry Potter and the Gobelt of Fire,Veritaserum,Harry Potter,Alastor Moody,It was you from the beginning. You put my name in the goblet of fire. You bewitched Krum. But...
Harry Potter and the Gobelt of Fire,Veritaserum,Alastor Moody,Harry Potter,You won because I made it so Potter. You ended up in that graveyard tonight because it was meant to be so. And now the deed is done. The blood that runs through these veins runs within the dark lord. Imagine how he will reward me when he learns that I have once and for all silenced the great Harry Potter.
Harry Potter and the Gobelt of Fire,Veritaserum,Albus Dumbledore,Severus Snape,Severus...
Harry Potter and the Gobelt of Fire,Veritaserum,Albus Dumbledore,Alastor Moody,Do you know who I am?
Harry Potter and the Gobelt of Fire,Veritaserum,Alastor Moody,Albus Dumbledore,Albus Dumbledore.
Harry Potter and the Gobelt of Fire,Veritaserum,Albus Dumbledore,Alastor Moody,Are you Alastor Moody? Are ya?
Harry Potter and the Gobelt of Fire,Veritaserum,Alastor Moody,Albus Dumbledore,No.
Harry Potter and the Gobelt of Fire,Veritaserum,Albus Dumbledore,Alastor Moody,Is he in this room? Is he in this room?
Harry Potter and the Gobelt of Fire,Veritaserum,Albus Dumbledore,Harry Potter,Harry get away from there!
Harry Potter and the Gobelt of Fire,Veritaserum,Albus Dumbledore,Alastor Moody,Are you alright Alastor?
Harry Potter and the Gobelt of Fire,Veritaserum,Alastor Moody,Albus Dumbledore,I'm sorry Albus.
Harry Potter and the Gobelt of Fire,Veritaserum,Harry Potter,Albus Dumbledore,"That's Moody, but then who's...?"
Harry Potter and the Gobelt of Fire,Veritaserum,Severus Snape,Albus Dumbledore,Polyjuice potion.
Harry Potter and the Gobelt of Fire,Veritaserum,Albus Dumbledore,Severus Snape,Now we know who's been stealing it from your store Severus.
Harry Potter and the Gobelt of Fire,Veritaserum,Albus Dumbledore,Alastor Moody,We'll get you up in a minute.
Harry Potter and the Gobelt of Fire,Veritaserum,Albus Dumbledore,Bartemius Crouch Junior,Barty Crouch Junior.
Harry Potter and the Gobelt of Fire,Veritaserum,Bartemius Crouch Junior,Albus Dumbledore,I'll show you mine if you show me yours.
Harry Potter and the Gobelt of Fire,Veritaserum,Albus Dumbledore,Harry Potter,Your arm Harry.
Harry Potter and the Gobelt of Fire,Veritaserum,Bartemius Crouch Junior,Albus Dumbledore,You know what this means don't you? He's back. Lord Voldemort has returned.
Harry Potter and the Gobelt of Fire,Veritaserum,Albus Dumbledore,Severus Snape,"Send an owl to Azkaban, think they'll find they're missing a prisoner."
Harry Potter and the Gobelt of Fire,Veritaserum,Bartemius Crouch Junior,Albus Dumbledore,I'll be welcomed back like a hero.
Harry Potter and the Gobelt of Fire,Veritaserum,Albus Dumbledore,Bartemius Crouch Junior,Perhaps. Personally I've never had much time for heroes.
Harry Potter and the Gobelt of Fire,Parting Ways,Albus Dumbledore,,"Today we acknowledge a really terrible loss. Cedric Diggory was as you all know, exceptionally hard working, intricately fair minded. And most importantly a fierce fierce friend. I think therefore you have the right to know exactly how he died. You see, Cedric Diggory was murdered by Lord Voldemort. The ministry of magic does not wish me to tell you this. But not to do so I think would be an insult to his memory. Now the pain we all feel at this dreadful loss reminds me, reminds us that while we may come from different places and speak in different tongues, our hearts beat as one. In light of recent events the bonds of friendship we made this year will be more important than ever. Remember that and Cedric Diggory will not have died in vain, you remember that. And we'll celebrate a boy who was kind and honest and brave and true right to the very end."
Harry Potter and the Gobelt of Fire,Parting Ways,Albus Dumbledore,Harry Potter,"I never liked these curtains. Set them on fire in my fourth year, by accident of course. I put you in terrible danger this year Harry I'm sorry."
Harry Potter and the Gobelt of Fire,Parting Ways,Harry Potter,Albus Dumbledore,"Professor, when I was in the graveyard there was a moment... um... when Voldemort's wand and mine sort of connected."
Harry Potter and the Gobelt of Fire,Parting Ways,Albus Dumbledore,Harry Potter,Priori Incantatem. You saw your parents that night didn't you? They reappeared.
Harry Potter and the Gobelt of Fire,Parting Ways,Albus Dumbledore,Harry Potter,"No spell can reawaken the dead Harry I trust you know that. Dark and diffiult times lie ahead. Soon we must all face the choice between what is right what is easy. But remember this, you have friends here. You're not alone."
Harry Potter and the Gobelt of Fire,Parting Ways,Viktor Krum,Hermione Granger,Write to me. Promise.
Harry Potter and the Gobelt of Fire,Parting Ways,Hermione Granger,Viktor Krum,Bye.
Harry Potter and the Gobelt of Fire,Parting Ways,Fleur Delacour,Ron Weasley,Au revoir Ron.
Harry Potter and the Gobelt of Fire,Parting Ways,Ron Weasley,Hermione Granger,Do you think we'll ever just have a quiet year at Hogwarts?
Harry Potter and the Gobelt of Fire,Parting Ways,Hermione Granger,Ron Weasley,No.
Harry Potter and the Gobelt of Fire,Parting Ways,Harry Potter,"Hermione Granger, Ron Weasley",No I don't think so.
Harry Potter and the Gobelt of Fire,Parting Ways,Hermione Granger,"Harry Potter, Ron Weasley",Everything's going to change now isn't it?
Harry Potter and the Gobelt of Fire,Parting Ways,Harry Potter,Hermione Granger,Yes.
Harry Potter and the Gobelt of Fire,Parting Ways,Hermione Granger,"Harry Potter, Ron Weasley",Promise you'll write this summer. Both of you.
Harry Potter and the Gobelt of Fire,Parting Ways,Ron Weasley,Hermione Granger,Well I won't. You know I won't!
Harry Potter and the Gobelt of Fire,Parting Ways,Hermione Granger,Harry Potter,Harry will won't you?
